rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b|A00|Anderssen's Opening|
rnbqkbnr/pppp1ppp/8/4p3/P6P/8/1PPPPPP1/RNBQKBNR b|A00|Crab Opening|
rnbqkbnr/pppppppp/8/8/P7/8/1PPPPPPP/RNBQKBNR b|A00|Ware (Meadow Hay) Opening|
r1bqkbnr/pp1ppppp/2n5/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w|b30|Sicilian defense|Nimzovich-Rubinstein; Rubinstein counter-gambit|
r1bqkb1r/pp1p1ppp/2n5/2ppP3/3P4/5N2/PPP2PPP/R1BQKB1R w|b29|Sicilian|Nimzovich-Rubinstein; Rubinstein counter-gambit|
rnbqkb1r/pp1ppppp/5n2/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w|b29|Sicilian|Nimzovich-Rubinstein Variation |
rnb1kbnr/pp1ppppp/8/q1p5/4P3/5N2/PPPP1PPP/RNBQKB1R w|b27|Sicilian|Stiletto (Althouse) Variation |
rnb1kbnr/ppqppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w|b27|Sicilian|Quinteros Variation |
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b|b27|Sicilian defense|Closed, 6.be3|
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w|B20|Sicilian defense|Classical |
rnbqkbnr/pp1ppppp/2p5/8/2B1P3/8/PPPP1PPP/RNBQK1NR b|b10|Caro-Kann|Hillbilly attack|
rnbqkbnr/pp2pppp/2p5/3p4/2P1P3/8/PP1P1PPP/RNBQKBNR w|b10|Caro-Kann|Anti-anti-Caro-Kann|
rnbqkbnr/pp1ppppp/2p5/8/2P1P3/8/PP1P1PPP/RNBQKBNR b|b10|Caro-Kann|Anti-Caro-Kann|
rnbqkbnr/pp1ppppp/2p5/8/4P3/3P4/PPP2PPP/RNBQKBNR b|b10|Caro-Kann|Closed (breyer) Variation |
rn1qkbnr/pp3ppp/2p1p3/3pPb2/3P4/2P5/PP2BPPP/RNBQK1NR b|B12|Caro-Kann|Advance, Short Variation |
rnbqkbnr/pp2pppp/2p5/3pP3/3P4/8/PPP2PPP/RNBQKBNR b|B12|Caro-Kann|Advance Variation |
r1bqkb1r/pp2pppp/2n2n2/3p4/3P1B2/2PB4/PP3PPP/RN1QK1NR b|B13|Caro-Kann|Exchange, Rubinstein Variation |
rnbqkb1r/pp2pppp/5n2/2Pp4/3P4/8/PP3PPP/RNBQKBNR b|B13|Caro-Kann|Panov-Botvinnik, Gunderam attack|
rnbqkb1r/pp3ppp/4pn2/3p4/2PP4/2N5/PP3PPP/R1BQKBNR w|b14|Caro-Kann|Panov-Botvinnik attack, 5...e6|
rnbqkb1r/pp2pp1p/5np1/3p4/2PP4/2N5/PP3PPP/R1BQKBNR w|b14|Caro-Kann|Panov-Botvinnik attack, 5...g6|
r1bqkb1r/pp2pppp/5n2/n2P2B1/2p5/2N5/PP3PPP/R2QKBNR w|B13|Caro-Kann|Panov-Botvinnik, Herzog defense|
r1bqkb1r/pp3ppp/2n1pn2/3p2B1/2PP4/2N5/PP3PPP/R2QKBNR w|B13|Caro-Kann|Panov-Botvinnik, normal Variation |
r1b1kb1r/pp2pppp/2n2n2/q2p2B1/2PP4/2N5/PP3PPP/R2QKBNR w|B13|Caro-Kann|Panov-Botvinnik, Czerniak Variation |
r1b1kb1r/pp2pppp/1qn2n2/3p2B1/2PP4/2N5/PP3PPP/R2QKBNR w|B13|Caro-Kann|Panov-Botvinnik, Reifir (Spielmann) Variation |
rnbqkb1r/pp2pppp/5n2/3p4/2PP4/2N5/PP3PPP/R1BQKBNR b|B13|Caro-Kann|Panov-Botvinnik attack|
rnbqkbnr/pp2pppp/8/3p4/2PP4/8/PP3PPP/RNBQKBNR b|B13|Caro-Kann|Panov-Botvinnik attack|
rnbqkbnr/pp2pppp/2p5/3P4/3P4/8/PPP2PPP/RNBQKBNR b|B13|Caro-Kann|Exchange Variation |
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/5P2/PPP3PP/RNBQKBNR b|B12|Caro-Kann|Tartakower (fantasy) Variation |
rnbqkbnr/p3pppp/2p5/1p1p4/3PP3/2N5/PPP2PPP/R1BQKBNR w|b15|Caro-Kann|Gurgenidze counter-attack|
rnbqkbnr/pp2pppp/2p5/8/3Pp3/2N2P2/PPP3PP/R1BQKBNR b|b15|Caro-Kann|Rasa-Studier gambit|
rn1qkbnr/pp2pppp/2p3b1/8/3P1P2/6N1/PPP3PP/R1BQKBNR b|b18|Caro-Kann|Classical, Maroczy attack|
r2qkbnr/pp1nppp1/2p3bp/7P/3P4/5NN1/PPP2PP1/R1BQKB1R b|b19|Caro-Kann|Classical |
r2qkbnr/pp1nppp1/2p3bp/8/3P3P/5NN1/PPP2PP1/R1BQKB1R w|b19|Caro-Kann|Classical, 7...Nd7|
rn1qkbnr/pp2pppp/2p3b1/8/3P3P/6N1/PPP2PP1/R1BQKBNR b|b18|Caro-Kann|Classical, 6.h4|
rn1qkbnr/pp2pppp/2p3b1/8/3P4/6NN/PPP2PPP/R1BQKB1R b|b18|Caro-Kann|Classical, Flohr Variation |
rn1qkbnr/pp2pppp/2p5/5b2/3PN3/8/PPP2PPP/R1BQKBNR w|b18|Caro-Kann|Classical Variation |
r1bqkbnr/pp1npppp/2p5/8/3PN3/8/PPP2PPP/R1BQKBNR w|b17|Caro-Kann|Steinitz Variation |
rnbqkb1r/pp2pppp/2p2n2/8/3PN3/3B4/PPP2PPP/R1BQK1NR b|b15|Caro-Kann|Alekhine gambit|
rnbqkb1r/pp3ppp/2p2p2/8/2BP4/8/PPP2PPP/R1BQK1NR b|b15|Caro-Kann|Forgacs Variation |
rnbqkb1r/pp3ppp/2p2p2/8/3P4/8/PPP2PPP/R1BQKBNR w|b15|Caro-Kann|Tartakower (Nimzovich) Variation |
rnbqkb1r/pp2pp1p/2p2p2/8/3P4/8/PPP2PPP/R1BQKBNR w|b16|Caro-Kann|bronstein-Larsen Variation |
rnbqkbnr/pp2pppp/2p5/8/3PN3/8/PPP2PPP/R1BQKBNR b|b15|Caro-Kann|Rasa-Studier gambit|
rnbqkbnr/pp2pp1p/2p3p1/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR w|b15|Caro-Kann|Gurgenidze system|
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b|b15|Caro-Kann|Panov-Botvinnik attack, 5...g6|
rnb1kbnr/pp2pppp/1qp5/3p4/3PP3/8/PPPN1PPP/R1BQKBNR w|B12|Caro-Kann|Edinburgh Variation |
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPPN1PPP/R1BQKBNR b|B12|Caro-Kann|3.Nd2|
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w|B12|Caro-Kann|Two knights, 3...bg4|
r1bqkbnr/ppnppppp/2p5/8/3PP3/2N5/PPP2PPP/R1BQKBNR w|B12|de bruycker defense|Two knights, 3...bg4|
rnbqkb1r/pp1ppppp/2p2n2/8/3PP3/8/PPP2PPP/RNBQKBNR w|B12|Caro-Masi defense|Two knights, 3...bg4|
rnbqkbnr/pp1ppppp/2p5/8/3PP3/8/PPP2PPP/RNBQKBNR b|B12|Caro-Kann|Two knights, 3...bg4|
rn1qkbnr/pp2pppp/2p5/3p4/4P1b1/2N2N2/PPPP1PPP/R1BQKB1R w|b11|Caro-Kann|Two knights, 3...bg4|
rnbqkbnr/pp2pppp/2p5/3p4/4P3/2N2N2/PPPP1PPP/R1BQKB1R b|b10|Caro-Kann|Two knights Variation |
rnbqkbnr/pp2pppp/2p5/3p4/4P3/2N2Q2/PPPP1PPP/R1B1KBNR b|b10|Caro-Kann|Goldman (Spielmann) Variation |
rnbqkbnr/pp1ppppp/2p5/8/4P3/2N5/PPPP1PPP/R1BQKBNR b|b10|Caro-Kann|Closed (breyer) Variation |
rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w|b10|Caro-Kann|Austrian attack, Ljubojevic Variation |
rnbqkb1r/pp2pppp/2p2n2/3P4/2P5/8/PP1P1PPP/RNBQKBNR w|B01|Scandinavian gambit|Icelandic gambit|
rnbqkb1r/ppp2ppp/4pn2/3P4/2P5/8/PP1P1PPP/RNBQKBNR w|B01|Scandinavian|Icelandic gambit|
rnbqkb1r/ppp1pp1p/5np1/3P4/3P4/8/PPP2PPP/RNBQKBNR w|B01|Scandinavian|Richter Variation |
rnbqkb1r/ppp1pppp/8/8/1nPP4/8/PP3PPP/RNBQKBNR w|B01|Scandinavian|Kiel Variation |
rnbqkb1r/ppp1pppp/8/3n4/3P4/8/PPP2PPP/RNBQKBNR w|B01|Scandinavian|Marshall Variation |
rnbqkb1r/ppp1pppp/5n2/3P4/3P4/8/PPP2PPP/RNBQKBNR b|B01|Scandinavian|Icelandic gambit|
rnbqkb1r/ppp1pppp/5n2/3P4/8/8/PPPP1PPP/RNBQKBNR w|B01|Scandinavian|Pytel-Wade Variation |
rnb1kbnr/ppp1pppp/8/q7/1P6/2N5/P1PP1PPP/R1BQKBNR b|B01|Scandinavian|Anderssen counter-attack, Collijn Variation |
r1b1k1nr/ppp2ppp/2n5/q3P3/1b6/2N2N2/PPPB1PPP/R2QKB1R b|B01|Scandinavian|Anderssen counter-attack Orthodox attack|
rn2kbnr/ppp2ppp/8/q3p3/3P2b1/2N2N2/PPP2PPP/R1BQKB1R w|B01|Scandinavian|Anderssen counter-attack, Collijn Variation |
rnb1kbnr/ppp2ppp/8/q3p3/3P4/2N2N2/PPP2PPP/R1BQKB1R b|B01|Scandinavian|Anderssen counter-attack, Goteborg system|
rnb1kbnr/ppp2ppp/8/q3p3/3P4/2N5/PPP2PPP/R1BQKBNR w|B01|Scandinavian|Anderssen counter-attack|
rn2kb1r/pp2pppp/2p2n2/q3Nb2/3P2P1/2N5/PPP2P1P/R1BQKB1R b|B01|Scandinavian|Gruenfeld Variation|
rn2kb1r/ppp1pppp/5n2/q7/3P2b1/2N2N1P/PPP2PP1/R1BQKB1R b|B01|Scandinavian defense|Lasker Variation|
rnb1kbnr/ppp1pppp/3q4/8/8/2N5/PPPP1PPP/R1BQKBNR w|B01|Scandinavian|Pytel-Wade Variation |
rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w|B01|Scandinavian|
rnbqkb1r/pp2pppp/2pp1n2/8/3PP3/2N5/PPP2PPP/R1BQKBNR w|B07|Pirc|Ufimtsev-Pytel Variation |
rnbqkb1r/ppp1pp1p/3p1np1/8/2BPP3/2N5/PPP2PPP/R1BQK1NR b|B07|Pirc|Holmov system|
rnbqk2r/ppp1ppbp/3p1np1/8/3PP1P1/2N5/PPP1BP1P/R1BQK1NR b|B07|Pirc|Chinese Variation |
rnbqk2r/ppp1ppbp/3p1np1/8/3PP2P/2N5/PPP1BPP1/R1BQK1NR b|B07|Pirc|bayonet (Mariotti) attack|
rnbqkb1r/ppp1pp1p/3p1np1/8/3PP3/2N5/PPP1BPPP/R1BQK1NR b|B07|Pirc defense|byrne Variation |
rnbqkb1r/pp2pp1p/2pp1np1/8/3PP3/2N1B3/PPPQ1PPP/R3KBNR b|B07|Pirc|150 attack|
rnbqkb1r/ppp1pp1p/3p1np1/6B1/3PP3/2N5/PPP2PPP/R2QKBNR b|B07|Pirc|byrne Variation |
rnbqk2r/ppp1ppbp/3p1np1/8/2BPPP2/2N5/PPP3PP/R1BQK1NR b|B09|Pirc|Austrian attack, Ljubojevic Variation |
rnbqk2r/pp2ppbp/3p1np1/2p5/3PPP2/2N2N2/PPP3PP/R1BQKB1R w|B09|Pirc|Austrian attack, Dragon formation|
rnbq1rk1/ppp1ppbp/3p1np1/8/3PPP2/2NB1N2/PPP3PP/R1BQK2R b|B09|Pirc|Austrian attack, 6.bd3|
rnbq1rk1/ppp1ppbp/3p1np1/8/3PPP2/2N1BN2/PPP3PP/R2QKB1R b|B09|Pirc|Austrian attack, 6.be3|
rnbq1rk1/ppp1ppbp/3p1np1/4P3/3P1P2/2N2N2/PPP3PP/R1BQKB1R b|B09|Pirc|Austrian attack, 6.e5|
rnbq1rk1/ppp1ppbp/3p1np1/8/3PPP2/2N2N2/PPP3PP/R1BQKB1R w|B09|Pirc|Austrian attack|
rnbqkb1r/ppp1pp1p/3p1np1/8/3PPP2/2N5/PPP3PP/R1BQKBNR b|B09|Pirc|Austrian attack|
rnbqkb1r/ppp1pp1p/3p1np1/8/3PP3/2N3P1/PPP2P1P/R1BQKBNR b|B07|Pirc|Sveshnikov system|
rnbqk2r/ppp1ppbp/3p1np1/8/3PP3/2N2N2/PPP1BPPP/R1BQK2R b|B08|Pirc|Classical system, 5.be2|
rnbqk2r/ppp1ppbp/3p1np1/8/3PP3/2N2N1P/PPP2PP1/R1BQKB1R b|B08|Pirc|Classical, h3 system|
rnbqk2r/ppp1ppbp/3p1np1/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R w|B08|Pirc|Classical (Two knights) system|
rnbqkb1r/ppp1pp1p/3p1np1/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R b|B08|Pirc|Classical (Two knights) system|
rnbqkb1r/ppp1pp1p/3p1np1/8/3PP3/2N5/PPP2PPP/R1BQKBNR w|B07|Pirc defense|Ufimtsev-Pytel Variation |
rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/2N5/PPP2PPP/R1BQKBNR b|B07|Pirc defense|Pseudo-Austrian attack|
rnbqkbnr/pppp1ppp/8/4p3/4P3/P7/1PPP1PPP/RNBQKBNR b|C20|KP|Mengarini's Opening|
rnbqk1nr/pppp1ppp/8/8/2BPP2b/5N2/P1P4p/RNBQ1R1K b|C23|Bishop's Opening|Four pawns' gambit|
rnbqk1nr/pppp1ppp/8/4p3/1bB1PP2/8/P1PP2PP/RNBQK1NR b|C23|Bishop's Opening|MacDonnell double gambit|
rnbqk1nr/pppp1ppp/8/2b1p3/1PB1P3/8/P1PP1PPP/RNBQK1NR b|C23|Bishop's Opening|Wing gambit|
rnbqk1nr/ppp2ppp/8/2bpp3/2B1P3/2P5/PP1P1PPP/RNBQK1NR w|C23|Bishop's Opening|Lewis counter-gambit|
rnbq1rk1/ppp2ppp/5P2/2b4Q/2pp4/2P5/PP3PPP/RNB1K1NR w|C23|Bishop's Opening|Pratt Variation |
rnb1k1nr/pppp1ppp/8/2b1p1q1/2B1P3/2P5/PP1P1PPP/RNBQK1NR w|C23|Bishop's Opening|del Rio Variation |
rnbqk1nr/pppp1ppp/8/2b1p3/2B1P3/2P5/PP1P1PPP/RNBQK1NR b|C23|Bishop's Opening|Philidor Variation |
rnbqk1nr/pppp1ppp/8/2b1p3/2BPP3/8/PPP2PPP/RNBQK1NR b|C23|Bishop's Opening|Lewis gambit|
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1PP2/2P5/PP1PQ1PP/RNB1K1NR b|C23|Bishop's Opening|Lopez gambit|
rnbqk1nr/pppp1ppp/8/2b1p3/2B1P3/8/PPPP1PPP/RNBQK1NR w|C23|Bishop's Opening|Classical Variation |
r2qkbnr/pp3ppp/8/3pn3/8/8/PPP1NPPP/RNBQK2R b|C23|Bishop's Opening|Lisitsyn Variation |
rnbqkbnr/pp1p1ppp/2p5/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR w|C23|Bishop's Opening|Philidor counter-attack|
rnbqkbnr/pppp2pp/8/4pp2/2B1P3/3P4/PPP2PPP/RNBQK1NR b|C23|Bishop's Opening|Calabrese counter-gambit, Jaenisch Variation |
rnbqkbnr/pppp2pp/8/4pp2/2B1P3/8/PPPP1PPP/RNBQK1NR w|C23|Bishop's Opening|Calabrese counter-gambit|
rnb1k2r/ppp1qppp/5n2/3P4/1bBp4/2P2N2/PP3PPP/RNBQK2R w|C24|Bishop's Opening|Urusov gambit, Panov Variation |
rnbqkb1r/pppp1ppp/5n2/8/2BpP3/5N2/PPP2PPP/RNBQK2R b|C24|Bishop's Opening|Urusov gambit|
rnbqkb1r/pppp1ppp/5n2/4p3/2BPP3/8/PPP2PPP/RNBQK1NR b|C24|Bishop's Opening|Ponziani gambit|
rnbqkb1r/pppp1ppp/5n2/4p3/2B1PP2/8/PPPP2PP/RNBQK1NR b|C24|Bishop's Opening|Greco gambit|
rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR w|C24|Bishop's Opening|berlin defense|
rnbqkbnr/pppp1ppp/8/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR b|C23|Bishop's Opening|Hall Variation |
rnbqkbnr/pppp1ppp/8/4p3/4P3/2P5/PP1P1PPP/RNBQKBNR b|C20|KP|Lopez Opening|
rnbqkbnr/pppp1ppp/8/4p3/4P3/3P4/PPP2PPP/RNBQKBNR b|C20|KP|Indian Opening|
rnbqkbnr/ppp2ppp/8/3p4/3pP3/2P5/PP3PPP/RNBQKBNR w|C21|Danish gambit|Soerensen defense|
rnbqkbnr/ppp2ppp/8/3p4/2B1P3/8/PB3PPP/RN1QK1NR w|C21|Danish gambit|Schlechter defense|
rnb1kbnr/ppppqppp/8/8/2B1P3/8/PB3PPP/RN1QK1NR w|C21|Danish gambit|Collijn defense|
rnbqkbnr/pppp1ppp/8/8/3pP3/2P5/PP3PPP/RNBQKBNR b|C21|Danish gambit|Lopez Opening|
rnbqkbnr/pppp1ppp/8/8/3pPP2/8/PPP3PP/RNBQKBNR b|C21|Halasz gambit|Lopez Opening|
rnbqkbnr/p2p1ppp/8/1pp5/2BpP3/5N2/PPP2PPP/RNBQK2R w|C21|center game, Kieseritsky Variation |Lopez Opening|
r1bqkbnr/pppp1ppp/2n5/8/2Q1P3/8/PPP2PPP/RNB1KBNR b|C22|center game|Hall Variation |
r1bqk1nr/ppppbppp/2n5/8/4P3/2P1Q3/PP3PPP/RNB1KBNR w|C22|center game|Charousek Variation |
r1bqkbnr/pppp2pp/2n5/5p2/4P3/4Q3/PPP2PPP/RNB1KBNR w|C22|center game|l'Hermet Variation |
r1bqr1k1/ppp2ppp/2np1n2/8/1bB1P3/2N1Q2N/PPPB1PPP/2KR3R b|C22|center game|Kuprå)ðððk Variation |
r1bqkb1r/pppp1ppp/2n2n2/8/4P3/4Q3/PPP2PPP/RNB1KBNR w|C22|center game|berger Variation |
r1bqkbnr/pppp1ppp/2n5/8/4P3/4Q3/PPP2PPP/RNB1KBNR b|C22|center game|Paulsen attack|
r1bqkbnr/pppp1ppp/2n5/8/3QP3/8/PPP2PPP/RNB1KBNR w|C22|center game|Soerensen defense|
rnbqkbnr/pppp1ppp/8/8/3QP3/8/PPP2PPP/RNB1KBNR b|C21|center game|Soerensen defense|
rnbqkbnr/pppp1ppp/8/8/3pP3/8/PPP2PPP/RNBQKBNR w|C21|center game|Lopez Opening|
rnbqkbnr/pppp1ppp/8/4p3/4P3/5P2/PPPP2PP/RNBQKBNR b|C20|KP|King's head Opening|
rnbqk1nr/ppp2ppp/3p4/2b1p3/1P2PP2/5N2/P1PP2PP/RNBQKB1R b|C30|KGD|Classical, Heath Variation |
rn1qk1nr/ppp2ppp/8/2b1p3/Q3P1b1/2P2N2/PP1P2PP/RNB1KB1R b|C30|KGD|Classical, Marshall attack|
rnbqk1nr/ppp3pp/8/2b2p2/2BpP3/2P2N2/PP4PP/RNBQK2R b|C30|KGD|Classical, Reti Variation |
rnbqk1nr/ppp3pp/3p4/2b1pp2/4PP2/2P2N2/PP1P2PP/RNBQKB1R w|C30|KGD|Classical counter-gambit|
rnbqk1nr/ppp2ppp/3p4/2b1p3/4PP2/2P2N2/PP1P2PP/RNBQKB1R b|C30|KGD|Classical, 4.c3|
rnbqk1nr/ppp2ppp/3p4/2b1P3/4P3/5N2/PPPP2PP/RNBQKB1R b|C30|KGD|Classical, SOldatenkov Variation |
r1bqk1nr/pppn1ppp/3p4/2b1p3/4PP2/2N2N2/PPPP2PP/R1BQKB1R w|C30|KGD|Classical, Hanham Variation |
r2qk2r/ppp2ppp/2np1n2/2b5/2B1Pp2/2NP1Q1P/PPP3P1/R1B1K2R w|C30|KGD|Classical, Svenonius Variation |
rnbqk1nr/pppp1ppp/8/2b1p3/4PP2/8/PPPP2PP/RNBQKBNR w|C30|KGD|Classical Variation |
rnbqkbnr/pp1p1ppp/8/2p1p3/4PP2/8/PPPP2PP/RNBQKBNR w|C30|KGD|Mafia defense|
rnbqkbnr/pp3ppp/2p5/3Pp3/5P2/8/PPPP2PP/RNBQKBNR w|C31|KGD|Nimzovich counter-gambit|
rnbqkbnr/ppp2ppp/8/1B1P4/4pP2/8/PPPP2PP/RNBQK1NR b|C31|KGD|Falkbeer, Nimzovich Variation |
rnb1k2r/ppp2ppp/8/3q4/4nP2/8/PPPNQbPP/RNBK1B1R b|C32|KGD|Falkbeer, Alapin Variation |
rn1q1rk1/ppp2ppp/8/2bP1b2/4nPP1/5N2/PPP1Q2P/RNB1KB1R w|C32|KGD|Falkbeer, Tarrasch Variation |
rn1qk2r/ppp2ppp/8/2bP1b2/4nP2/5N2/PPP1Q1PP/RNB1KB1R w|C32|KGD|Falkbeer, Main line, 7...bf5|
rnb1kb1r/ppp3pp/8/3q1p2/4nPP1/8/PPPNQ2P/R1B1KBNR b|C32|KGD|Falkbeer, Charousek Variation |
rnbqkb1r/ppp2ppp/8/3P4/4nP2/8/PPP1Q1PP/RNB1KBNR b|C32|KGD|Falkbeer, Charousek gambit|
rnbqkb1r/ppp2ppp/5n2/3P4/4PP2/8/PPP3PP/RNBQKBNR b|C32|KGD|Falkbeer, 5.de|
rnbqk2r/ppp2ppp/5n2/3P4/1b3P2/2NPp3/PPPB2PP/R2QKBNR w|C31|KGD|Falkbeer, Morphy gambit|
rnbqkb1r/ppp2ppp/5n2/3P4/4pP2/3P4/PPPN2PP/R1BQKBNR b|C32|KGD|Falkbeer, Keres Variation |
rnbqkb1r/ppp2ppp/5n2/3P4/4pP2/3P4/PPP1Q1PP/RNB1KBNR b|C32|KGD|Falkbeer, Reti Variation |
rnbqkbnr/ppp2ppp/8/3P4/4pP2/3P4/PPP3PP/RNBQKBNR b|C31|KGD|Falkbeer, 4.d3|
rnbqkb1r/ppp2ppp/5n2/3P4/4pP2/2N5/PPPPQ1PP/R1B1KBNR b|C31|KGD|Falkbeer, Rubinstein Variation |
rnbqkbnr/ppp2ppp/8/3P4/4pP2/8/PPPP2PP/RNBQKBNR w|C31|KGD|Falkbeer, 3...e4|
rnbqkbnr/ppp2ppp/8/3Pp3/5P2/8/PPPP2PP/RNBQKBNR b|C31|KGD|Falkbeer counter-gambit|
rnbqkbnr/ppp2ppp/8/3pp3/4PP2/2N5/PPPP2PP/R1BQKBNR b|C31|KGD|Falkbeer, Milner-barry Variation |
rnbqkbnr/ppp2ppp/8/3pp3/4PP2/5N2/PPPP2PP/RNBQKB1R b|C31|KGD|Falkbeer, Tartakower Variation |
rnbqkbnr/ppp2ppp/8/3pp3/4PP2/8/PPPP2PP/RNBQKBNR w|C31|KGD|Falkbeer counter-gambit|
rnbqkbnr/pppp1ppp/8/8/4Pp2/1P6/P1PP2PP/RNBQKBNR b|C33|KGA|Orsini gambit|
rnbqkbnr/p1pp1ppp/8/1p6/2B1Pp2/8/PPPP2PP/RNBQK1NR w|C33|KGA|Bishop's gambit, bryan counter-gambit|
rnbqkbnr/pp1p1ppp/2p5/8/2B1Pp2/8/PPPP2PP/RNBQK1NR w|C33|KGA|Bishop's gambit, Ruy Lopez defense|
rnbqkbnr/pp3ppp/2p5/3B4/4Pp2/8/PPPP2PP/RNBQK1NR w|C33|KGA|Bishop's gambit, Anderssen Variation |
rnbqkb1r/ppp2ppp/5n2/3B4/4Pp2/8/PPPP2PP/RNBQK1NR w|C33|KGA|Bishop's gambit, Morphy Variation |
rnb1k1nr/ppp2ppp/3b4/3B4/4Pp1q/8/PPPP2PP/RNBQ1KNR w|C33|KGA|Bishop's gambit, boren-Svenonius Variation |
rnb1kbnr/ppp2p1p/8/3B2p1/4Pp1q/6P1/PPPP3P/RNBQ1KNR b|C33|KGA|Bishop's gambit, Gifford Variation |
rnbqkbnr/ppp2ppp/8/3p4/2B1Pp2/8/PPPP2PP/RNBQK1NR w|C33|KGA|Bishop's gambit, bledow Variation |
rnbk1bnr/pppp2pp/8/8/2B1pp1q/2N5/PPPPQ1PP/R1BK2NR w|C33|KGA|Lopez-Gianutio counter-gambit, Hein Variation |
rnbqkbnr/pppp2pp/8/5p2/2B1Pp2/8/PPPP2PP/RNBQK1NR w|C33|KGA|Bishop's gambit, Lopez-Gianutio counter-gambit|
r1bqkbnr/pppp1ppp/2n5/8/2B1Pp2/8/PPPP2PP/RNBQK1NR w|C33|KGA|Bishop's gambit, Maurian defense|
rnbqkb1r/ppppnppp/8/8/2B1Pp2/8/PPPP2PP/RNBQK1NR w|C33|KGA|Bishop's gambit, Steinitz defense|
rnbqk2r/pppp1ppp/5n2/4P3/1bB2p2/2N5/PPPP2PP/R1BQK1NR b|C33|KGA|Bishop's gambit, Paulsen attack|
rnbqkb1r/pp1p1ppp/2p2n2/8/2B1Pp2/2N5/PPPP2PP/R1BQK1NR w|C33|KGA|Bishop's gambit, Jaenisch Variation |
rnbqkb1r/pppp1ppp/5n2/8/2B1Pp2/2N5/PPPP2PP/R1BQK1NR b|C33|KGA|Bishop's gambit, bogolyubov Variation |
rnbqkb1r/pppp1ppp/5n2/8/2B1Pp2/8/PPPP2PP/RNBQK1NR w|C33|KGA|Bishop's gambit, Cozio (Morphy) defense|
rnb1kbnr/p1pp1ppp/8/1p6/2B1Pp1q/8/PPPP2PP/RNBQ1KNR w|C33|KGA|Bishop's gambit, bryan counter-gambit|
rnb1k1nr/pppp1ppp/8/2b5/2B1Pp1q/8/PPPP2PP/RNBQ1KNR w|C33|KGA|Bishop's gambit, Greco Variation |
rnb1kbnr/ppp2p1p/8/3B2p1/4Pp1q/6P1/PPPP3P/RNBQ1KNR b|C33|KGA|Bishop's gambit, Chigorin's attack|
rnb1k1nr/ppp2pbp/3p4/4P1p1/2BP1p1q/2N5/PPP3PP/R1BQ1KNR b|C33|KGA|Bishop's gambit, Grimm attack|
rnb1k2r/ppppnpbp/8/6p1/2BPPp1q/2N3P1/PPP4P/R1BQ1KNR b|C33|KGA|Bishop's gambit, McDonnell attack|
rnb1k2r/ppppnpbp/8/6p1/2BPPp1q/2N5/PPP3PP/R1BQ1KNR w|C33|KGA|Bishop's gambit, Classical defense|
rnb1k1nr/pppp1pbp/8/6p1/2B1P2q/2N2Qp1/PPPP3P/R1B2KNR b|C33|KGA|Bishop's gambit, Fraser Variation |
rnb1k1nr/pppp1pbp/8/6p1/2B1Pp1q/2N3P1/PPPP3P/R1BQ1KNR b|C33|KGA|Bishop's gambit, McDonnell attack|
rnb1kbnr/pppp1p1p/8/6p1/2B1Pp1q/5Q2/PPPP2PP/RNB2KNR b|C33|KGA|Bishop's gambit, Classical defense, Cozio attack|
rnb1kbnr/pppp1p1p/8/6p1/2B1Pp1q/8/PPPP2PP/RNBQ1KNR w|C33|KGA|Bishop's gambit, Classical defense|
r1b1kbnr/pppp1ppp/2n5/8/2B1Pp1q/8/PPPP2PP/RNBQ1KNR w|C33|KGA|Bishop's gambit, boden defense|
rnbqkbnr/pppp1ppp/8/8/2B1Pp2/8/PPPP2PP/RNBQK1NR b|C33|KGA|Bishop's gambit|
rnbqkbnr/pppp1ppp/8/8/4Pp2/3B4/PPPP2PP/RNBQK1NR b|C33|KGA|Schurig gambit|
rnbqkbnr/pppp1ppp/8/8/4Pp2/8/PPPPB1PP/RNBQK1NR b|C33|KGA|Lesser Bishop's (Petroff-Jaenisch-Tartakower) gambit|
